Player,Pos,NBAID
Feron Hunt,SF,-1
Festus Ezeli,C,203105
Francisco Elson,C,1922
Francisco García,"SF, SG, SG-SF",101128
Frank Jackson,PG,1628402
Frank Kaminsky,"C, PF",1626163
Frank Mason III,PG,-1
Frank Ntilikina,PG,1628373
Frank Williams,"PG, SG",2421
Franz Wagner,SF,-1
Fred Hoiberg,SG,697
Fred Jones,"SF, SG",2410
Fred VanVleet,"PG, SG",1627832
Fred Vinson,SG,1844
Freddie Gillespie,PF,-1
Furkan Aldemir,PF,203128
Furkan Korkmaz,SG,1627788
Gabe Pruitt,"PG, SG",201172
Gabe Vincent,PG,-1
Gabe York,SG,-1
Gabriel Deck,PF,-1
Gabriel Lundberg,SG,-1
Gal Mekel,PG,203539
Gani Lawal,PF,202371
Garret Siler,C,202081
Garrett Temple,"PG, PG-SG, SF, SG",202066
Garrison Mathews,SG,1629726
Garth Joseph,C,2123
Gary Clark,"PF, PF-SF, SF, SF-PF",1629109
Gary Forbes,"SF, SG",201814
Gary Grant,PG,202
Gary Harris,SG,203914
Gary Neal,SG,202390
Gary Payton II,"PG, SF",1627780
Gary Payton*,PG,56
Gary Trent,"C, PF, SF",718
Gary Trent Jr.,"SF, SG",1629018
Geno Carlisle,SG,2367
George Hill,"PG, SG",201588
George King,SF,77268
George Lynch,"SF, SG",248
George McCloud,SF,45
George Zídek,C,678
Georges Niang,PF,1627777
Georgios Kalaitzakis,SF,-1
Georgios Papagiannis,C,1627834
Gerald Brown,SG,1871
Gerald Fitch,PG,2809
Gerald Green,"SF, SG",101123
Gerald Henderson,SG,76993
Gerald Madkins,SG,1666
Gerald Wallace,"PF, SF, SF-PF",2222
Gerald Wilkins,SG,786
Gerard King,SF,1562
Gheorghe Mureșan,C,49
Gian Clavell,SG,1628492
Giannis Antetokounmpo,"PF, SF, SG",203507
Gigi Datome,SF,203540
Gilbert Arenas,PG,2240
Glen Davis,"C, PF",201175
Glen Rice,SF,779
Glen Rice Jr.,SG,-1
Glenn Robinson,SF,299
